39d525b9b8ff6cf9e3d6f6b8627fbc0807be045d	2024-01-10	Clean up BOUNCER_USER_SWITCHER flag
aefe4a549c25b825904ee3edb8e3d99a87d932ac	2024-01-10	audio service: do not persist system enforced stream volume
9a423550f30aa27f7271a8043950379c49b7dffc	2024-01-09	added resource overlay config_satellite_sim_spn_identifier so the service provider name can be used to identify the network as non-terrestrial.
cca8170d316dc8172a21d6a4b549a012d42c3d37	2023-12-06	surface: Roughly annotate Surface.java with memory usage
efcd54b75118a81c91a426de11f01301cc9d99c3	2023-12-27	SceneGestureHandler renamed gestureWithPriority to currentSource
3678929056b4b0c0b0b95019b5750647cfbd0ff0	2024-01-02	Do not change strong auth for users stopped with delayed locking
2f870bdab227dcb5dcfc077fc13143a2554bcdbb	2024-01-10	[CDM Wear] Fix security issues for Wear
5ab1d831e0967072b79a85d24d0be518e0dffe52	2024-01-11	Clear calling identity when checking if NLS is trusted
ed81c781fa4cc279687caa7c29cc4a7cb750e6b2	2024-01-11	Offer Mockito under Ravenwood.
40e213701b1b32f12935c45cdf8dfdc1a466fe18	2024-01-12	Move From* Interactors to background scope
5f68e65289cbd10dd70edb4cfefc953c5a4d8322	2024-01-11	CSD: Add check to avoid crash when persisting dose records
9fc751342f3a64189a45b9b6305a10a5238aa4cb	2023-11-10	Min and max refresh rate per display (take 2)
a0e0b3b9c0bc3baa82dc24fc96a5675ed7f57f61	2024-01-03	Animate visual indicators between all types.
301113eac35f2dc3efe1bca5d3465a9acdc8ff77	2023-12-18	Make showing percentage texts configurable on shutdown dialog
c60396c0340c8b20779abdd3b9ce0ac513cd9415	2023-12-21	Add keyguard transitions between lockscreen and glanceable hub
c1cb0730047326068b95172acd061fde31785cbb	2024-01-12	Fix for NPE in webview test
b9abcbbd865509375cdebd38b72396989b99964b	2024-01-11	Don't send the boot_completed in the critical path
b85885d750f0eab2d42c61d9f6d7793cee79d560	2024-01-11	[ECM] Make flag fixed (and rename it)
ab085c00a6ec9d6b3db2b2bab0c24b61cfd5e8d6	2024-01-12	Use createForAllProfiles SubscriptionManager
331300d50819d389db7dd726e1c5b611ce1ecf78	2023-12-19	Improve window content change events merging from multiple views
f25a6830a217747dd7e5e34cf94081768284f9c6	2024-01-10	Fix a NPE in PIA if the caller has no requested permissions.
216586f94e345b5d77517292d01163517b02a9a7	2023-11-13	Add WM-side transition trace perfetto tracer
